iter	RMSE
339	2461628.396
340	2459400.66
341	2458417.403
342	2456858.619
343	2452879.38
344	2450406.172
345	2446664.316
346	2445908.263
347	2444906.152
348	2443713.842
349	2443430.192
350	2441639.921
351	2441400.744
352	2437570.783
353	2436834.162
354	2436105.991
355	2435286.54
356	2434178.653
357	2433443.038
358	2429366.967
359	2429081.103
360	2425589.684
361	2425326.936
362	2421728.274
363	2420526.628
364	2416928.387
365	2415624.108
366	2411883.911
367	2409910.79
368	2406171.208
369	2404289.808
370	2403201.695
371	2402937.657
372	2402645.706
373	2396928.771
374	2392865.353
375	2392204.24
376	2391520.057
377	2391199.428
378	2389407.271
379	2388359.262
380	2385004.506
381	2384370.519
382	2381583.886
383	2377974.147
384	2374661.622
385	2370458.765
386	2367012.516
387	2365761.382
388	2362146.027
389	2359267.787
390	2358965.639
391	2356849.789
392	2355596.417
393	2352272.867
394	2347820.561
395	2346606.094
396	2343342.4
397	2340309.915
398	2340019.002
399	2339375.801
400	2339059.454
401	2338422.294
402	2334207.93
403	2331113.11
404	2326391.182
405	2325361.476
406	2323741.777
407	2323466.511
408	2320917.771
409	2319713.78
410	2319102.372
411	2315536.748
412	2313035.218
413	2308897.213
414	2308129.208
415	2306583.972
416	2303697.067
417	2301226.9
418	2298789.771
419	2298215.785
420	2295813.731
421	2293449.73
422	2293274.945
423	2290945.317
424	2288648.299
425	2286386.202
426	2284946.552
427	2282738.078
428	2280561.8
429	2278415.782
430	2276303.179
431	2275702.926
432	2273572.609
433	2270570.629
434	2270356.934
435	2269952.674
436	2267865.522
437	2266830.7
438	2265478.035
439	2263438.171
440	2263203.634
441	2261193.174
442	2260984.953
443	2259302.044
444	2257318.808
445	2255364.402
446	2254080.382
447	2253366.656
448	2251448.758
449	2250218.651
450	2249017.762
451	2247845.354
452	2245976.792
453	2244839.019
454	2243004.407
455	2241196.471
456	2239414.814
457	2238831.868
458	2237075.637
459	2235344.924
460	2233639.352
461	2232566.835
462	2230892.183
463	2229162.583
464	2224192.932
465	2220330.76
466	2219727.659
467	2218069.342
468	2216435.662
469	2214825.147
470	2214225.285
471	2213995.074
472	2212408.224
473	2208680.572
474	2207114.111
475	2205601.352
476	2201567.195
477	2200019.61
478	2196346.753
479	2194055.145
480	2193663.938
481	2192135.352
482	2191549.315
483	2190042.491
484	2188557.521
485	2185776.824
486	2185580.116
487	2184208.572
488	2183985.977
489	2183607.11
490	2183387.833
491	2179194.78
492	2177734.725
493	2176296.228
494	2176079.529
495	2175705.486
496	2174287.433
497	2173918.911
498	2173704.951
499	2172307.064
500	2171093.655
501	2169906.629
502	2169543.02
503	2168163.803
504	2167953.226
505	2166593.861
506	2164071.936
507	2160628.865
508	2159833.137
509	2159473.549
510	2158135.599
511	2154189.246
512	2153412.266
513	2153057.109
514	2150380.406
515	2150211.944
516	2149861.782
517	2149695.838
518	2147252.664
519	2146907.446
520	2145593.493
521	2143982.222
522	2141901.362
523	2140604.472
524	2140264.175
525	2134532.853
526	2134196.78
527	2132914.981
528	2130595.337
529	2129330.789
530	2125990.9
531	2125261.417
532	2124019.036
533	2122794.686
534	2121588.108
535	2120399.047
536	2117298.165
537	2116964.391
538	2115790.439
539	2115098.747
540	2114769.715
541	2114214.712
542	2110822.156
543	2110497.551
544	2110303.903
545	2110152.968
546	2108200.115
547	2108036.446
548	2107875.946
549	2107718.55
550	2107398.416
551	2106966.958
552	2106825.916
553	2104645.365
554	2101873.155
555	2101450.111
556	2100290.69
557	2097242.582
558	2095099.445
559	2093953.948
560	2090271.122
561	2088783.729
562	2088454.602
563	2083045.255
564	2080289.892
565	2078250.119
566	2076832.431
567	2076507.236
568	2073993.702
569	2072043.885
570	2071723.239
571	2070948.368
572	2068259.845
573	2067122.703
574	2066002.075
575	2063545.331
576	2060714.843
577	2059607.493
578	2059290.395
579	2058198.896
580	2057981.041
581	2057689.881
582	2056727.863
583	2056562.094
584	2055486.194
585	2052243.488
586	2047071.979
587	2046680.39
588	2044332.015
589	2043827.843
590	2041899.879
591	2041595.284
592	2038486.66
593	2036258.19
594	2035769.54
595	2035031
596	2033960.514
597	2032905.572
598	2032103.293
599	2028645.871
600	2028173.503
601	2027131.605
602	2026104.859
603	2025823.64
604	2022726.96
605	2022460.652
606	2020343.513
607	2018515.023
608	2018252.47
609	2017236.944
610	2014545.248
611	2013393.381
612	2012403.026
613	2011427.099
614	2009564.896
615	2007461.935
616	2004801.607
617	2002371.427
618	2002111.856
619	2001396.023
620	1996548.148
621	1995590.29
622	1994339.204
623	1990349.775
624	1988534.649
625	1987593.889
626	1987340.59
627	1984424.648
628	1983749.451
629	1980937.197
630	1978443.415
631	1976213.241
632	1975281.055
633	1975001.112
634	1974726.224
635	1972720.799
636	1968932.039
637	1968301.558
638	1967379.776
639	1965568.28
640	1964534.134
641	1961759.923
642	1960986.183
643	1960748.967
644	1958821.788
645	1958019.841
646	1957791.079
647	1957005.532
648	1955863.185
649	1953215.48
650	1951837.02
651	1950497.739
652	1949624.427
653	1948593.527
654	1948362.395
655	1947598.424
656	1947036.729
657	1946314.009
658	1943318.241
659	1942226.683
660	1942002.741
661	1940177.405
662	1938221.659
663	1936632.388
664	1934898.478
665	1934239.542
666	1934019.368
667	1932398.339
668	1932183.601
669	1930603.353
670	1929732.133
671	1929495.284
672	1926874.634
673	1926665.026
674	1924082.455
675	1923090.348
676	1922886.126
677	1922184.488
678	1921496.847
679	1921285.207
680	1919416.086
681	1917690.442
682	1916005.656
683	1913150.12
684	1911472.136
685	1911272.817
686	1910426.211
687	1909049.59
688	1908080.251
689	1907412.547
690	1907214.779
691	1905194.894
692	1905004.432
693	1901935.551
694	1901278.852
695	1898290.296
696	1897793.031
697	1896690.131
698	1895482.17
699	1892573.941
700	1892390.872
701	1890630.294
702	1889020.621
703	1888391.395
704	1885844.869
705	1884287.091
706	1883047.325
707	1882679.462
708	1881738.912
709	1881559.101
710	1881045.45
711	1880234.933
712	1879191.163
713	1877638.843
714	1876718.503
715	1876173.425
716	1874318.699
717	1873738.119
718	1873192.846
719	1872397.564
720	1871595.199
721	1868311.914
722	1867520.155
723	1864863.168
724	1863800.04
725	1863211.985
726	1862991.488
727	1862104.387
728	1861543.413
729	1860763.696
730	1858454.336
731	1858265.381
732	1855699.092
733	1855517.012
734	1854746.555
735	1854157.047
736	1851110.387
737	1850245.124
738	1850061.024
739	1849538.494
740	1849457.114
741	1848007.327
742	1847435.09
743	1846933.462
744	1845665.513
745	1843254.001
746	1842272.416
747	1841874.589
748	1841695.482
749	1840287.137
750	1838852.254
751	1837651.081
752	1836445.958
753	1835025.527
754	1831904.29
755	1829347.584
756	1827037.652
757	1826200.073
758	1825020.411
759	1824067.595
760	1823891.552
761	1823067.63
762	1822142.542
763	1819496.65
764	1817933.02
765	1815898.602
766	1812913.811
767	1812018.879
768	1811450.861
769	1811277.07
770	1809552.623
771	1808039.786
772	1806638.72
773	1806211.284
774	1805402.44
775	1804332.072
776	1803536.995
777	1802659.776
778	1801845.281
779	1801114.762
780	1799306.692
781	1797951.923
782	1797107.022
783	1795631.477
784	1794912.776
785	1794433.825
786	1793589.459
787	1792306.997
788	1791439.71
789	1790869.735
790	1790029.331
791	1788116.135
792	1787342.761
793	1786806.968
794	1785683.592
795	1785130.496
796	1784354.244
797	1783998.766
798	1783598.492
799	1782390.478
800	1781691.117
801	1780888.349
802	1779669.998
803	1779132.465
804	1777123.412
805	1776304.333
806	1773507.563
807	1772236.273
808	1770824.024
809	1770608.423
810	1769519.435
811	1768350.167
812	1768138.16
813	1767397.038
814	1766236.213
815	1765103.935
816	1762316.056
817	1762107.511
818	1761812.786
819	1759488.967
820	1757879.435
821	1757132.906
822	1757054.108
823	1756331.528
824	1755636.306
825	1754940.218
826	1754428.81
827	1752823.156
828	1752321.297
829	1750266.908
830	1748790.794
831	1748580.175
832	1747008.446
833	1746801.517
834	1746428.231
835	1744698.659
836	1744283.246
837	1743995.818
838	1743796.344
839	1743390.183
840	1740698.914
841	1740302.693
842	1740106.231
843	1739450.536
844	1739305.075
845	1738723.465
846	1738357.144
847	1737586.428
848	1736264.792
849	1735880.823
850	1735454.633
851	1734763.898
852	1734344.784
853	1733077.126
854	1732119.465
855	1731441.296
856	1731252.48
857	1730841.614
858	1730472.236
859	1729060.11
860	1728147.902
861	1727469.683
862	1726810.919
863	1725082.268
864	1724398.065
865	1723739.567
866	1721106.699
867	1720705.288
868	1720349.439
869	1720114.775
870	1718529.126
871	1718074.425
872	1717615.025
873	1717024.932
874	1716844.798
875	1715669.685
876	1715579.969
877	1713014.144
878	1712104.642
879	1710633.507
880	1710456.069
881	1709560.654
882	1707090.226
883	1706752.607
884	1706615.565
885	1705583.821
886	1703531.468
887	1702903.275
888	1702219.745
889	1701098.608
890	1700735.124
891	1700417.824
892	1698549.631
893	1698321.507
894	1697234.635
895	1695425.359
896	1694758.563
897	1694135.247
898	1693490.404
899	1692401.728
900	1691791.809
901	1691169.163
902	1689778.588
903	1689060.017
904	1688751.134
905	1687690.627
906	1686932.71
907	1686555.623
908	1685447.746
909	1684840.207
910	1684256.053
911	1683796.316
912	1683427.009
913	1682859.639
914	1682201.455
915	1680646.962
916	1680086.497
917	1679787.139
918	1679623.364
919	1676990.849
920	1675942.253
921	1675349.265
922	1674581.412
923	1673062.455
924	1672994.525
925	1672258.183
926	1671756.052
927	1671689.591
928	1669309.802
929	1668892.775
930	1668588.882
931	1668098.651
932	1667420.277
933	1666962.833
934	1666897.889
935	1666737.121
936	1665697.193
937	1665632.912
938	1665347.026
939	1664805.268
940	1663996.943
941	1663187.295
942	1662774.327
943	1660442.376
944	1659665.481
945	1659404.319
946	1658792.456
947	1658509.618
948	1658229.68
949	1657782.473
950	1657095.818
951	1656130.25
952	1656076.131
953	1654440.904
954	1653739.138
955	1652792.383
956	1650519.07
957	1649913.401
958	1649226.282
959	1648106.735
960	1646651.333
961	1646375.563
962	1646104.123
963	1645859.104
964	1645591.872
965	1645293.39
966	1644957.734
967	1644164.138
968	1643894.43
969	1643567.318
970	1642236.168
971	1641975.622
972	1641690.052
973	1641373.713
974	1640462.494
975	1639919.292
976	1639643.292
977	1637147.128
978	1633992.042
979	1632735.1
980	1630785.198
981	1628742.702
982	1626600.445
983	1624854.318
984	1624444.161
985	1623737.386
986	1622814.887
987	1622055.045
988	1621901.126
989	1620914.709
990	1620610.274
991	1618443.907
992	1617774.46
993	1617718.985
994	1617311.532
995	1617262.447
996	1616632.509
997	1616578.546
998	1616525.514
999	1616051.419
